KX897545.1_prot_APP87812.1_3	K01465
KX897545.1_prot_APP87895.1_86	K01485
KX897545.1_prot_APP88297.1_488	K01494
KX897545.1_prot_APP88463.1_654	K01591
KX897545.1_prot_APP88166.1_357	K01937
KX897545.1_prot_APP88558.1_749	K01955
KX897545.1_prot_APP88018.1_209	K01956
KX897545.1_prot_APP88298.1_489	K03465
KX897545.1_prot_APP88634.1_825	K09903
KX897545.1_prot_APP88384.1_575	K13799
KX897545.1_prot_APP87930.1_121	K23265
KX897545.1_prot_APP88186.1_377	K23269
KX897545.1_prot_APP88135.1_326	K00254
KX897545.1_prot_APP88576.1_767	K00524
KX897545.1_prot_APP88061.1_252	K00761
KX897545.1_prot_APP88279.1_470	K00762
KX897545.1_prot_APP88146.1_337	K00940
KX897545.1_prot_APP88085.1_276	K00943
KX897545.1_prot_APP87965.1_156	K00873
KX897545.1_prot_APP88343.1_534	K00939
KX897545.1_prot_APP88146.1_337	K00940
KX897545.1_prot_APP88506.1_697	K00942
KX897545.1_prot_APP88531.1_722	K00948
KX897545.1_prot_APP88310.1_501	K00958
KX897545.1_prot_APP88130.1_321	K01139
KX897545.1_prot_APP88625.1_816	K01939
KX897545.1_prot_APP88209.1_400	K01951
KX897545.1_prot_APP88652.1_843	K02428
KX897545.1_prot_APP88154.1_345	K02314
KX897545.1_prot_APP88027.1_218	K02316
KX897545.1_prot_APP88023.1_214	K02337
KX897545.1_prot_APP88184.1_375	K02338
KX897545.1_prot_APP88227.1_418	K02340
KX897545.1_prot_APP88084.1_275	K02341
KX897545.1_prot_APP88013.1_204	K02342
KX897545.1_prot_APP88218.1_409	K02343
KX897545.1_prot_APP88236.1_427	K03111
KX897545.1_prot_APP88521.1_712	K00088
KX897545.1_prot_APP88576.1_767	K00524
KX897545.1_prot_APP88285.1_476	K00602
KX897545.1_prot_APP88112.1_303	K00860
MSTRG.15911.1.p1	K01972
MSTRG.8876.1.p1	K01972
MSTRG.7660.1.p1	K01972
MSTRG.17738.1.p1	K02335
MSTRG.27742.1.p1	K02335
MSTRG.6340.1.p1	K02335
MSTRG.4007.1.p1	K02335
MSTRG.13387.1.p1	K02335
MSTRG.13717.1.p1	K02342
MSTRG.8071.1.p1	K02342
MSTRG.11892.1.p1	K03469
MSTRG.19480.1.p1	K03469
MSTRG.7053.1.p1	K03470
MSTRG.5217.1.p1	K00088
MSTRG.18906.1.p1	K00527
MSTRG.20503.1.p1	K00602
MSTRG.6689.1.p1	K00759
MSTRG.27853.2.p1	K00760
MSTRG.15480.1.p1	K00760
MSTRG.17958.1.p1	K00760
MSTRG.835.1.p1	K00764
MSTRG.24012.1.p1	K00856
MSTRG.18860.1.p1	K00856
MSTRG.12686.1.p1	K00860
MSTRG.23381.1.p1	K00873
MSTRG.22796.1.p1	K00873
MSTRG.13414.1.p1	K00873
MSTRG.24199.1.p1	K00873
MSTRG.21953.1.p1	K00926
MSTRG.8290.1.p1	K00939
MSTRG.13579.1.p1	K00939
MSTRG.15534.1.p1	K00939
MSTRG.2607.1.p1	K00939
MSTRG.1642.2.p1	K00939
MSTRG.7674.2.p1	K00940
MSTRG.13723.1.p1	K00940
MSTRG.12344.1.p1	K00942
MSTRG.11129.2.p1	K00944
MSTRG.23120.1.p1	K00944
MSTRG.24211.1.p1	K00948
MSTRG.19143.1.p1	K00948
MSTRG.11794.2.p1	K00958
MSTRG.15268.1.p1	K00958
MSTRG.17384.1.p1	K01081
MSTRG.27764.1.p1	K01081
MSTRG.9046.t1.1.p1	K01487
MSTRG.10333.1.p1	K01488
MSTRG.21591.1.p1	K01488
MSTRG.21594.1.p1	K01488
MSTRG.13131.1.p1	K01488
MSTRG.13131.6.p1	K01488
MSTRG.4653.2.p1	K01488
MSTRG.26161.6.p1	K01488
MSTRG.9371.1.p1	K01490
MSTRG.16814.2.p1	K01490
MSTRG.8930.1.p1	K01509
MSTRG.21143.1.p1	K01510
MSTRG.13432.1.p1	K01514
MSTRG.8783.3.p1	K01515
MSTRG.25284.1.p1	K01517
MSTRG.6823.3.p1	K01517
MSTRG.11874.1.p1	K01519
MSTRG.24583.1.p1	K01519
MSTRG.312.1.p1	K01522
MSTRG.6096.1.p1	K01756
MSTRG.9958.1.p1	K01756
MSTRG.6905.1.p1	K01768
MSTRG.17428.2.p1	K01768
MSTRG.8769.3.p1	K01768
MSTRG.25154.2.p1	K01768
MSTRG.19364.1.p1	K01835
MSTRG.7998.1.p1	K01923
MSTRG.9541.1.p1	K01933
MSTRG.25312.1.p1	K01939
MSTRG.20131.1.p1	K01939
MSTRG.11290.1.p1	K01945
MSTRG.17803.1.p1	K01951
MSTRG.834.1.p1	K01952
MSTRG.13433.1.p1	K03651
MSTRG.4695.1.p1	K03783
MSTRG.15872.1.p1	K06928
MSTRG.6408.1.p1	K09913
MSTRG.6409.1.p1	K09913
MSTRG.3989.1.p1	K10807
MSTRG.12045.1.p1	K10808
MSTRG.838.1.p1	K11175
MSTRG.831.1.p1	K11751
MSTRG.19222.1.p1	K11751
MSTRG.971.1.p1	K12304
MSTRG.2459.4.p1	K12304
MSTRG.7421.1.p1	K13293
MSTRG.21654.2.p1	K13293
MSTRG.23343.1.p1	K13293
MSTRG.7553.2.p1	K13755
MSTRG.7121.4.p1	K13755
MSTRG.9188.1.p1	K13761
MSTRG.3896.1.p1	K13988
MSTRG.24662.1.p1	K15779
MSTRG.8083.1.p1	K18532
MSTRG.21922.1.p1	K24242
MSTRG.16505.1.p1	K24242
MSTRG.1224.1.p1	K00226
MSTRG.1225.1.p1	K00226
MSTRG.18906.1.p1	K00527
MSTRG.21874.1.p1	K00609
MSTRG.28031.1.p1	K00876
MSTRG.25663.1.p1	K00876
MSTRG.7674.2.p1	K00940
MSTRG.13723.1.p1	K00940
MSTRG.9240.1.p1	K00943
MSTRG.17384.1.p1	K01081
MSTRG.27764.1.p1	K01081
MSTRG.23658.1.p1	K01489
MSTRG.7644.1.p1	K01494
MSTRG.21143.1.p1	K01510
MSTRG.27457.1.p1	K01520
MSTRG.19767.1.p1	K01520
MSTRG.26400.1.p1	K01937
MSTRG.4695.1.p1	K03783
MSTRG.16785.1.p1	K09019
MSTRG.19878.1.p1	K09019
MSTRG.6408.1.p1	K09913
MSTRG.6409.1.p1	K09913
MSTRG.3989.1.p1	K10807
MSTRG.12045.1.p1	K10808
MSTRG.13416.1.p1	K11540
MSTRG.9073.1.p1	K11541
MSTRG.831.1.p1	K11751
MSTRG.19222.1.p1	K11751
MSTRG.971.1.p1	K12304
MSTRG.2459.4.p1	K12304
MSTRG.5317.1.p1	K13421
MSTRG.21233.1.p1	K13998
MSTRG.27860.1.p1	K13998
MSTRG.26247.2.p1	K16330
MSTRG.9895.1.p1	K16904
MSTRG.21922.1.p1	K24242
MSTRG.16505.1.p1	K24242
