SeqName	Color	Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	Alistat_Cr	crTP	mtTP
Archaea-CandidatusKorarchaeota-NA-NA-NA-Candidatus_Korarchaeum_cryptofilum_WP_012308807.1	#4daf4a	Archaea	CandidatusKorarchaeota	NA	NA	NA	Candidatus_Korarchaeum_cryptofilum_WP_012308807.1	0.97093	No	No
Archaea-Crenarchaeota-Thermoprotei-Desulfurococcales-Desulfurococcaceae-Desulfurococcus_amylolyticus_WP_014768104.1	#4daf4a	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus_amylolyticus_WP_014768104.1	0.973837	No	No
Archaea-Crenarchaeota-Thermoprotei-Desulfurococcales-Desulfurococcaceae-Thermogladius_calderae_WP_014736937.1	#4daf4a	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermogladius_calderae_WP_014736937.1	0.97093	No	No
Archaea-Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Halorhabdus_sp._H27_WP_136687711.1	#4daf4a	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halorhabdus_sp._H27_WP_136687711.1	0.968023	No	No
Archaea-Euryarchaeota-Halobacteria-Halobacteriales-Haloarculaceae-Halorientalis_persicus_WP_092657140.1	#4daf4a	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halorientalis_persicus_WP_092657140.1	0.968023	No	No
Archaea-Euryarchaeota-Halobacteria-Natrialbales-Natrialbaceae-Halopiger_djelfimassiliensis_WP_049922830.1	#4daf4a	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Halopiger_djelfimassiliensis_WP_049922830.1	0.968023	No	No
Archaea-Euryarchaeota-Halobacteria-Natrialbales-Natrialbaceae-Haloterrigena_salina_WP_008896224.1	#4daf4a	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Haloterrigena_salina_WP_008896224.1	0.968023	No	No
Archaea-Euryarchaeota-Methanomicrobia-Methanocellales-Methanocellaceae-Methanocella_conradii_WP_014406327.1	#4daf4a	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella_conradii_WP_014406327.1	0.973837	No	No
Archaea-Euryarchaeota-Methanomicrobia-Methanosarcinales-Methanosarcinaceae-Methanohalobium_evestigatum_WP_013194950.1	#4daf4a	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanohalobium_evestigatum_WP_013194950.1	0.973837	No	No
Archaea-Euryarchaeota-Methanomicrobia-Methanosarcinales-Methanosarcinaceae-Methanosalsum_zhilinae_WP_013898013.1	#4daf4a	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosalsum_zhilinae_WP_013898013.1	0.973837	No	No
Archaea-Euryarchaeota-Methanomicrobia-Methanosarcinales-Methanosarcinaceae-Methanosarcina_spelaei_WP_095642664.1	#4daf4a	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina_spelaei_WP_095642664.1	0.973837	No	No
Archaea-NA-NA-NA-NA-anaerobic_archaeon_MKD1_WP_147663155.1	#4daf4a	Archaea	NA	NA	NA	NA	anaerobic_archaeon_MKD1_WP_147663155.1	0.973837	No	No
Archaea-NA-NA-NA-NA-archaeon_AArcSl_WP_119820651.1	#4daf4a	Archaea	NA	NA	NA	NA	archaeon_AArcSl_WP_119820651.1	0.968023	No	No
Bacteria-Acidobacteria-Acidobacteriia-Acidobacteriales-Acidobacteriaceae-Acidipila_sp._4GK13_WP_117300883.1	#377eb8	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidipila_sp._4GK13_WP_117300883.1	0.973837	No	No
Bacteria-Acidobacteria-Acidobacteriia-Acidobacteriales-Acidobacteriaceae-Acidobacterium_capsulatum_WP_015896997.1	#377eb8	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidobacterium_capsulatum_WP_015896997.1	0.973837	No	No
Bacteria-Actinobacteria-Actinobacteria-Actinomycetales-Actinomycetaceae-Varibaculum_timonense_WP_080913910.1	#377eb8	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Varibaculum_timonense_WP_080913910.1	0.973837	No	No
