#ref_id	pos	pos_read_coverage	pos_read_with_SL
MSTRG.312.1	2	323	274
MSTRG.312.1	111	487	2
MSTRG.312.1	160	550	1
MSTRG.312.1	455	671	29
MSTRG.831.1	204	555	1
MSTRG.838.1	448	3509	2
MSTRG.834.1	83	2854	1
MSTRG.834.1	1875	2144	1
MSTRG.834.1	2060	2598	1
MSTRG.835.1	121	975	455
MSTRG.835.1	129	1167	3
MSTRG.835.1	1565	2712	19
MSTRG.971.1	121	2649	6
MSTRG.971.1	750	2600	1
MSTRG.1224.1	1	465	66
MSTRG.1224.1	3	477	1
MSTRG.1225.1	1	451	46
MSTRG.1225.1	1243	3405	1
MSTRG.1225.1	1275	3373	7
MSTRG.1642.2	133	61155	3
MSTRG.1642.2	797	85023	1
MSTRG.1642.2	798	84143	15
MSTRG.2459.4	4	2184	1608
MSTRG.2459.4	6	2293	2
MSTRG.2459.4	1105	12558	1
MSTRG.2459.4	1112	14326	1
MSTRG.2459.4	1118	18018	6
MSTRG.2459.4	1139	26156	1
MSTRG.2459.4	1149	26652	2
MSTRG.2459.4	1557	13140	3
MSTRG.2459.4	1565	19075	3
MSTRG.2459.4	1574	25472	1
MSTRG.2459.4	1577	26231	1
MSTRG.2459.4	1580	26681	1
MSTRG.2459.4	1589	27268	1
MSTRG.2459.4	1610	27479	1
MSTRG.2459.4	1690	7555	9
MSTRG.2459.4	1700	10819	1
MSTRG.2459.4	1718	19097	1
MSTRG.2459.4	1721	20519	7
MSTRG.2459.4	1753	33085	44
MSTRG.2459.4	1756	33403	2
MSTRG.2459.4	1764	34070	1
MSTRG.2459.4	1765	34157	3
MSTRG.2459.4	1778	32956	1
MSTRG.2607.1	223	10150	1
MSTRG.3896.1	1	3505	2738
MSTRG.3896.1	2	3526	8
MSTRG.3896.1	3	3606	11
MSTRG.3896.1	10	3917	1
MSTRG.3896.1	15	5136	593
MSTRG.3896.1	94	6712	199
MSTRG.3896.1	153	7888	532
MSTRG.3896.1	154	7954	1
MSTRG.3896.1	155	7972	3
MSTRG.3896.1	676	7493	2
MSTRG.3989.1	208	6828	4
MSTRG.3989.1	1255	15814	1
MSTRG.3989.1	2001	15786	1
MSTRG.3989.1	2967	48416	2
MSTRG.4007.1	2	265	191
MSTRG.4007.1	83	262	1
MSTRG.4653.2	101	12711	1
MSTRG.4653.2	102	15712	298
MSTRG.4653.2	103	19510	1
MSTRG.4653.2	106	38199	48
MSTRG.4653.2	108	42817	66
MSTRG.4653.2	110	47230	7
MSTRG.4653.2	111	51679	1
MSTRG.4653.2	112	54221	3
MSTRG.4653.2	116	65040	1
MSTRG.4653.2	258	1599	589
MSTRG.4653.2	325	2095	1
MSTRG.4653.2	779	1006	1
MSTRG.4653.2	1733	44043	2
MSTRG.4653.2	1743	80856	1
MSTRG.4653.2	1753	118599	2
MSTRG.4653.2	1799	230999	1
MSTRG.4653.2	2547	2929	1
MSTRG.4653.2	2551	3556	1
MSTRG.4653.2	2558	4636	1
MSTRG.4653.2	2560	4833	1
MSTRG.4653.2	2563	4958	1
MSTRG.4653.2	2590	6064	1
MSTRG.4653.2	2605	5922	2
MSTRG.4653.2	2659	1781	6
MSTRG.4695.1	7	14573	3
MSTRG.4695.1	432	20127	1
MSTRG.5217.1	44	160	3
MSTRG.5217.1	185	12395	1711
MSTRG.5217.1	186	12415	2
MSTRG.5217.1	467	15162	138
MSTRG.5217.1	1188	16873	1
MSTRG.5217.1	1305	15259	1
MSTRG.5217.1	2628	7753	1
MSTRG.5317.1	168	6922	1
MSTRG.5317.1	1729	378	1
MSTRG.5317.1	1731	2591	17
MSTRG.6096.1	2	769	646
MSTRG.6096.1	6	794	1
MSTRG.6096.1	645	1697	1
MSTRG.6340.1	1	730	577
MSTRG.6408.1	1	16076	13808
MSTRG.6408.1	2	16535	22
MSTRG.6408.1	3	18272	34
MSTRG.6408.1	4	18495	764
MSTRG.6408.1	5	19174	2
MSTRG.6408.1	7	20829	2
MSTRG.6408.1	15	25565	1
MSTRG.6408.1	54	46248	167
MSTRG.6408.1	55	46327	1
MSTRG.6408.1	143	28048	1
MSTRG.6408.1	321	26482	1
MSTRG.6409.1	64	1328	63
MSTRG.6409.1	564	4540	1
MSTRG.6409.1	762	5496	1
MSTRG.6689.1	1	5214	4160
MSTRG.6689.1	2	5312	15
MSTRG.6689.1	3	5387	6
MSTRG.6689.1	4	5450	2
MSTRG.6689.1	5	5477	4
MSTRG.6689.1	46	10988	1
MSTRG.6689.1	71	12605	1
MSTRG.6823.3	959	366	1
MSTRG.6823.3	1404	32850	1
MSTRG.6823.3	1408	39080	1
MSTRG.6823.3	1416	48431	1
MSTRG.6823.3	1428	56004	1
MSTRG.6905.1	85	24	1
MSTRG.6905.1	108	1801	1494
MSTRG.6905.1	109	1883	1
MSTRG.6905.1	111	1962	3
MSTRG.6905.1	276	3571	2
MSTRG.6905.1	346	3374	2
MSTRG.6905.1	1669	2642	2
MSTRG.7053.1	2	233	172
MSTRG.7053.1	3	237	1
MSTRG.7053.1	2485	47579	1
MSTRG.7053.1	2486	101182	1
MSTRG.7053.1	2487	130849	1
MSTRG.7053.1	2489	161642	1
MSTRG.7053.1	2493	202388	2
MSTRG.7053.1	2525	409422	1
MSTRG.7053.1	2533	446114	1
MSTRG.7053.1	2545	493769	1
MSTRG.7053.1	2565	555253	1
MSTRG.7053.1	2654	442714	2
MSTRG.7053.1	2672	337736	5
MSTRG.7053.1	2690	153239	9
MSTRG.7053.1	2696	156344	1
MSTRG.7053.1	2698	156560	21
MSTRG.7053.1	2699	157181	4
MSTRG.7121.4	179	4164	1
MSTRG.7121.4	242	2358	1
MSTRG.7121.4	1332	3662	1
MSTRG.7121.4	2104	5107	2
MSTRG.7121.4	3158	2883	1
MSTRG.7121.4	4909	214436	22
MSTRG.7317.1	2390	81606	3
MSTRG.7317.1	2391	181282	1
MSTRG.7317.1	2392	217950	3
MSTRG.7317.1	2395	267765	1
MSTRG.7317.1	2396	284350	1
MSTRG.7317.1	2397	300737	1
MSTRG.7317.1	2403	364450	1
MSTRG.7317.1	2404	377072	1
MSTRG.7317.1	2405	388992	1
MSTRG.7317.1	2408	417831	1
MSTRG.7317.1	2412	459812	1
MSTRG.7317.1	2427	589573	1
MSTRG.7317.1	2449	700735	1
MSTRG.7317.1	2455	654775	1
MSTRG.7317.1	2585	108555	1
MSTRG.7317.1	2587	117280	1
MSTRG.7317.1	2789	1799	1
MSTRG.7421.1	2	1	1
MSTRG.7421.1	482	5265	1
MSTRG.7553.2	810	1881	1
MSTRG.7553.2	1102	2297	1
MSTRG.7553.2	3111	65901	1
MSTRG.7553.2	3112	65932	1
MSTRG.7553.2	3126	57744	25
MSTRG.7644.1	40	1703	1307
MSTRG.7644.1	41	1761	2
MSTRG.7644.1	43	1843	1
MSTRG.7644.1	75	2607	2
MSTRG.7644.1	78	20219	13601
MSTRG.7644.1	79	20663	29
MSTRG.7644.1	80	20865	4
MSTRG.7644.1	81	21029	4
MSTRG.7644.1	82	21618	1
MSTRG.7644.1	83	22062	1
MSTRG.7644.1	84	24604	2
MSTRG.7644.1	557	16992	3
MSTRG.7644.1	1006	24885	1
MSTRG.7660.1	1	422	4
MSTRG.7660.1	54	1879	2
MSTRG.7660.1	151	35821	2
MSTRG.7660.1	154	37323	18
MSTRG.7660.1	172	71418	14716
MSTRG.7660.1	173	71854	14
MSTRG.7660.1	174	73586	531
MSTRG.7660.1	175	73835	4
MSTRG.7660.1	176	75535	188
MSTRG.7660.1	178	75340	1
MSTRG.7660.1	180	77262	4
MSTRG.7660.1	185	79647	1
MSTRG.7660.1	188	80661	37
MSTRG.7660.1	190	80869	63
MSTRG.7660.1	269	12945	14
MSTRG.7660.1	432	13048	2
MSTRG.7660.1	788	4143	4
MSTRG.7674.2	1	35222	26820
MSTRG.7674.2	2	35623	26
MSTRG.7674.2	3	35990	61
MSTRG.7674.2	4	36044	10
MSTRG.7674.2	5	36826	2
MSTRG.7674.2	6	38703	1
MSTRG.7674.2	8	41959	2
MSTRG.7674.2	98	26559	10
MSTRG.7674.2	102	25888	2
MSTRG.7895.1	124	1435	98
MSTRG.7895.1	163	1283	1
MSTRG.7895.1	170	1562	176
MSTRG.7895.1	203	1668	41
MSTRG.7895.1	956	786	1
MSTRG.7895.1	959	778	4
MSTRG.7895.1	2160	1531	5
MSTRG.7895.1	2161	1515	26
MSTRG.7895.1	2188	1637	1
MSTRG.7895.1	2724	1786	2
MSTRG.7998.1	1	80647	4
MSTRG.7998.1	89	4640	3929
MSTRG.7998.1	90	4751	9
MSTRG.7998.1	91	5026	3
MSTRG.7998.1	108	7481	35
MSTRG.7998.1	151	11588	1
MSTRG.8071.1	2	11	2
MSTRG.8071.1	66	526	398
MSTRG.8071.1	67	548	1
MSTRG.8071.1	118	1111	2
MSTRG.8071.1	1141	10195	89
MSTRG.8071.1	1142	13565	5
MSTRG.8071.1	1144	41627	6
MSTRG.8083.1	156	2174	1738
MSTRG.8083.1	157	2204	2
MSTRG.8083.1	158	2217	2
MSTRG.8083.1	368	3228	1
MSTRG.8083.1	402	2847	1
MSTRG.8083.1	2133	34965	1
MSTRG.8083.1	2134	106969	11
MSTRG.8083.1	2136	172603	6
MSTRG.8083.1	2137	196126	1
MSTRG.8083.1	2138	220775	26
MSTRG.8083.1	2139	242151	82
MSTRG.8083.1	2140	265987	1
MSTRG.8083.1	2141	288334	12
MSTRG.8083.1	2142	314339	2
MSTRG.8083.1	2144	357348	5
MSTRG.8083.1	2145	382633	1
MSTRG.8083.1	2146	401910	2
MSTRG.8083.1	2148	439824	12
MSTRG.8083.1	2150	468400	5
MSTRG.8083.1	2151	481918	1
MSTRG.8083.1	2153	518502	1
MSTRG.8083.1	2156	570156	1
MSTRG.8083.1	2157	585541	63
MSTRG.8083.1	2158	608600	3
MSTRG.8083.1	2161	651089	9
MSTRG.8083.1	2165	722173	17
MSTRG.8083.1	2168	767951	2
MSTRG.8083.1	2171	806563	92
MSTRG.8083.1	2172	819731	1
MSTRG.8083.1	2173	833130	2
MSTRG.8083.1	2174	845157	2
MSTRG.8083.1	2175	877883	1
MSTRG.8083.1	2176	890595	17
MSTRG.8083.1	2177	895082	1
MSTRG.8083.1	2182	959262	2
MSTRG.8083.1	2183	965024	1
MSTRG.8083.1	2184	978042	1
MSTRG.8083.1	2185	982766	2
MSTRG.8083.1	2188	995800	3
MSTRG.8083.1	2192	1017840	9
MSTRG.8083.1	2193	1018437	52
MSTRG.8083.1	2198	1013333	2
MSTRG.8083.1	2202	996501	2
MSTRG.8083.1	2207	969970	6
MSTRG.8083.1	2208	962026	1
MSTRG.8083.1	2215	870763	1
MSTRG.8083.1	2232	639173	1
MSTRG.8083.1	2245	362083	1
MSTRG.8290.1	2	314	228
MSTRG.8290.1	3	330	2
MSTRG.8290.1	2720	31881	1
MSTRG.8290.1	2721	38109	1
MSTRG.8290.1	2732	116857	2
MSTRG.8290.1	2743	157189	1
MSTRG.8290.1	2753	188175	1
MSTRG.8290.1	2756	200049	50
MSTRG.8290.1	2758	203220	2
MSTRG.8769.3	362	1531	1
MSTRG.8769.3	1257	3362	1
MSTRG.8783.3	1	383	292
MSTRG.8876.1	150	1117	852
MSTRG.8876.1	151	1141	1
MSTRG.8876.1	2261	5000	54
MSTRG.8876.1	2263	17088	1
MSTRG.8876.1	2354	64540	41
MSTRG.8876.1	2420	49745	1
MSTRG.8876.1	2440	38461	1
MSTRG.8930.1	2	346	301
MSTRG.8930.1	4	355	1
MSTRG.8930.1	832	521	1
MSTRG.8930.1	1736	804	2
MSTRG.8930.1	2308	16088	2
MSTRG.8930.1	2309	24662	1
MSTRG.8930.1	2322	66293	1
MSTRG.8930.1	2329	79279	10
MSTRG.8930.1	2331	81991	2
MSTRG.8930.1	2332	83120	1
MSTRG.8930.1	2702	52263	1
MSTRG.9073.1	877	4146	1
MSTRG.9073.1	2503	3660	2
MSTRG.9073.1	2545	5283	1
MSTRG.9073.1	2771	2687	1
MSTRG.9073.1	3029	118984	1
MSTRG.9073.1	3655	177176	1
MSTRG.9073.1	3706	158948	1
MSTRG.9073.1	3730	256852	1
MSTRG.9188.1	4	10795	1
MSTRG.9188.1	6	27947	1
MSTRG.9188.1	13	101188	3
MSTRG.9188.1	14	104497	1
MSTRG.9188.1	28	131661	1
MSTRG.9188.1	29	133134	1
MSTRG.9188.1	34	139277	1
MSTRG.9188.1	57	134303	1
MSTRG.9188.1	122	139	116
MSTRG.9188.1	6259	421	1
MSTRG.9188.1	6388	2081	1
MSTRG.9188.1	6392	14941	198
MSTRG.9188.1	6393	16091	1
MSTRG.9188.1	6409	22253	1
MSTRG.9188.1	6491	10905	3
MSTRG.9240.1	83	237	192
MSTRG.9240.1	85	243	1
MSTRG.9240.1	93	438	1
MSTRG.9240.1	94	441	123
MSTRG.9240.1	109	1290	554
MSTRG.9240.1	110	1296	2
MSTRG.9240.1	151	3086	437
MSTRG.9240.1	229	2787	26
MSTRG.9240.1	278	2343	1
MSTRG.9240.1	483	1630	227
MSTRG.9240.1	484	1605	1
MSTRG.9240.1	1512	3228	7
