SeqName	Color	Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	Alistat_Cr	crTP	mtTP
Bacteria-Chlamydiae-Chlamydiia-Parachlamydiales-Parachlamydiaceae-Candidatus_Protochlamydia_massiliensis_WP_032124060.1	#377eb8	Bacteria	Chlamydiae	Chlamydiia	Parachlamydiales	Parachlamydiaceae	Candidatus_Protochlamydia_massiliensis_WP_032124060.1	0.0959852	No	No
Bacteria-Chlamydiae-Chlamydiia-Parachlamydiales-Parachlamydiaceae-Neochlamydia_sp._S13_WP_042242640.1	#377eb8	Bacteria	Chlamydiae	Chlamydiia	Parachlamydiales	Parachlamydiaceae	Neochlamydia_sp._S13_WP_042242640.1	0.0867559	No	No
Bacteria-Proteobacteria-Deltaproteobacteria-Desulfobacterales-Desulfobacteraceae-Desulfobacter_hydrogenophilus_WP_111955695.1	#377eb8	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacter_hydrogenophilus_WP_111955695.1	0.0860637	No	No
Bacteria-Proteobacteria-Deltaproteobacteria-Desulfobacterales-Desulfobulbaceae-Desulfocapsa_sulfexigens_WP_015403837.1	#377eb8	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfocapsa_sulfexigens_WP_015403837.1	0.0791417	No	No
Bacteria-Spirochaetes-Spirochaetia-Spirochaetales-Spirochaetaceae-Alkalispirochaeta_alkalica_WP_018526063.1	#377eb8	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Alkalispirochaeta_alkalica_WP_018526063.1	0.0856022	No	No
Bacteria-Spirochaetes-Spirochaetia-Spirochaetales-Spirochaetaceae-Oceanispirochaeta_sp._M1_WP_114629999.1	#377eb8	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Oceanispirochaeta_sp._M1_WP_114629999.1	0.0832949	No	No
Eukaryota-Alveolata-Dinophyceae-NA-Unranked-Alexandrium_margalefi_MMETSP0661_c10739_g1_i1.p2	#f781bf	Eukaryota	Alveolata	Dinophyceae	NA	Unranked	Alexandrium_margalefi_MMETSP0661_c10739_g1_i1.p2	0.0888325	No	No
Eukaryota-Alveolata-Dinophyceae-NA-Unranked-Amphidinium_carterae_MMETSP0258_c31123_g1_i1.p1	#f781bf	Eukaryota	Alveolata	Dinophyceae	NA	Unranked	Amphidinium_carterae_MMETSP0258_c31123_g1_i1.p1	0.103369	No	No
Eukaryota-Alveolata-Dinophyceae-NA-Unranked-Karenia_brevis_MMETSP0648_c131035_g1_i1.p1	#f781bf	Eukaryota	Alveolata	Dinophyceae	NA	Unranked	Karenia_brevis_MMETSP0648_c131035_g1_i1.p1	0.0879096	No	No
Eukaryota-Alveolata-Dinophyceae-NA-Unranked-Lingulodinium_polyedra_MMETSP1033_c28261_g1_i1.p1	#f781bf	Eukaryota	Alveolata	Dinophyceae	NA	Unranked	Lingulodinium_polyedra_MMETSP1033_c28261_g1_i1.p1	0.107983	No	No
Eukaryota-Amoebozoa-NA-NA-Paramoebidae-Filamoeba_nolandi_MMETSP0413_c21561_g1_i1.p1	#f781bf	Eukaryota	Amoebozoa	NA	NA	Paramoebidae	Filamoeba_nolandi_MMETSP0413_c21561_g1_i1.p1	0.0689894	No	No
Eukaryota-Amoebozoa-NA-NA-Paramoebidae-Stygamoeba_regulata_MMETSP0447_c37212_g1_i1.p1	#f781bf	Eukaryota	Amoebozoa	NA	NA	Paramoebidae	Stygamoeba_regulata_MMETSP0447_c37212_g1_i1.p1	0.0821412	No	No
Eukaryota-Amoebozoa-NA-NA-Paramoebidae-Trichosphaerium_sp_MMETSP0405_c7018_g1_i1.p1	#f781bf	Eukaryota	Amoebozoa	NA	NA	Paramoebidae	Trichosphaerium_sp_MMETSP0405_c7018_g1_i1.p1	0.0874481	No	No
Eukaryota-Amoebozoa-NA-NA-Paramoebidae-Vexillifera_sp_MMETSP0173_c15469_g1_i1.p1	#f781bf	Eukaryota	Amoebozoa	NA	NA	Paramoebidae	Vexillifera_sp_MMETSP0173_c15469_g1_i1.p1	0.0920628	No	No
Eukaryota-Apicomplexa-NA-Unranked-NA-Alveolata_sp_MMETSP0288_c14763_g1_i1.p1	#f781bf	Eukaryota	Apicomplexa	NA	Unranked	NA	Alveolata_sp_MMETSP0288_c14763_g1_i1.p1	0.0934472	No	No
Eukaryota-Apusomonadidae-NA-NA-NA-Thecamonas_trahens_XP_013756037.1	#f781bf	Eukaryota	Apusomonadidae	NA	NA	NA	Thecamonas_trahens_XP_013756037.1	0.162206	No	No
Eukaryota-Arthropoda-Arachnida-Mesostigmata-Varroidae-Varroa_jacobsoni_XP_022711026.1	#f781bf	Eukaryota	Arthropoda	Arachnida	Mesostigmata	Varroidae	Varroa_jacobsoni_XP_022711026.1	0.0932164	No	No
Eukaryota-Arthropoda-Insecta-Blattodea-Kalotermitidae-Cryptotermes_secundus_XP_023708606.1	#f781bf	Eukaryota	Arthropoda	Insecta	Blattodea	Kalotermitidae	Cryptotermes_secundus_XP_023708606.1	0.0867559	No	No
Eukaryota-Arthropoda-Insecta-Thysanoptera-Thripidae-Frankliniella_occidentalis_XP_026279117.1	#f781bf	Eukaryota	Arthropoda	Insecta	Thysanoptera	Thripidae	Frankliniella_occidentalis_XP_026279117.1	0.0869866	No	No
