1.1.1.205	MSTRG.5217.1.p1
1.17.4.2	MSTRG.18906.1.p1
2.1.2.3 & 3.5.4.10	MSTRG.20503.1.p1
2.7.1.40	MSTRG.23381.1.p1
2.7.1.40	MSTRG.22796.1.p1
2.7.1.40	MSTRG.13414.1.p1
2.7.1.40	MSTRG.24199.1.p1
2.7.4.3	MSTRG.8290.1.p1
2.7.4.3	MSTRG.13579.1.p1
2.7.4.3	MSTRG.15534.1.p1
2.7.4.3	MSTRG.2607.1.p1
2.7.4.3	MSTRG.1642.2.p1
2.7.4.3	MSTRG.8083.1.p1
2.7.4.6	MSTRG.7674.2.p1
2.7.4.6	MSTRG.13723.1.p1
2.7.4.8	MSTRG.12344.1.p1
6.3.4.4	MSTRG.25312.1.p1
6.3.4.4	MSTRG.20131.1.p1
6.3.5.3	MSTRG.834.1.p1
1.17.4.1	MSTRG.3989.1.p1
1.17.4.1	MSTRG.12045.1.p1
2.1.2.2	MSTRG.838.1.p1
2.4.2.1	MSTRG.4695.1.p1
2.4.2.1	MSTRG.6408.1.p1
2.4.2.1	MSTRG.6409.1.p1
2.4.2.7	MSTRG.6689.1.p1
2.4.2.8	MSTRG.27853.2.p1
2.4.2.8	MSTRG.15480.1.p1
2.4.2.8	MSTRG.17958.1.p1
2.4.2.14	MSTRG.835.1.p1
2.7.1.20	MSTRG.24012.1.p1
2.7.1.20	MSTRG.18860.1.p1
2.7.4.10	MSTRG.11129.2.p1
2.7.4.10	MSTRG.23120.1.p1
3.1.3.5	MSTRG.17384.1.p1
3.1.3.5	MSTRG.27764.1.p1
3.1.3.5	MSTRG.831.1.p1
3.1.3.5	MSTRG.19222.1.p1
3.1.3.5	MSTRG.21922.1.p1
3.1.3.5	MSTRG.16505.1.p1
3.5.4.3	MSTRG.9046.t1.1.p1
3.5.4.4	MSTRG.10333.1.p1
3.5.4.4	MSTRG.21591.1.p1
3.5.4.4	MSTRG.21594.1.p1
3.5.4.4	MSTRG.13131.1.p1
3.5.4.4	MSTRG.13131.6.p1
3.5.4.4	MSTRG.4653.2.p1
3.5.4.4	MSTRG.26161.6.p1
3.5.4.6	MSTRG.9371.1.p1
3.5.4.6	MSTRG.16814.2.p1
3.6.1.5	MSTRG.21143.1.p1
3.6.1.6	MSTRG.971.1.p1
3.6.1.6	MSTRG.2459.4.p1
3.6.1.11	MSTRG.13432.1.p1
3.6.1.15	MSTRG.15872.1.p1
3.6.1.-	MSTRG.11874.1.p1
3.6.1.-	MSTRG.24583.1.p1
4.3.2.2	MSTRG.6096.1.p1
4.3.2.2	MSTRG.9958.1.p1
4.3.2.10	MSTRG.5172.1
5.3.1.16	MSTRG.7507.1
6.3.2.6	MSTRG.7998.1.p1
6.3.3.1	MSTRG.9541.1.p1
6.3.4.13	MSTRG.11290.1.p1
2.4.2.10	MSTRG.5317.1.p1
2.7.4.9	MSTRG.9240.1.p1
3.5.4.13	MSTRG.7644.1.p1
4.1.1.23	MSTRG.5317.1.p1
6.3.5.5 & 3.5.2.3	MSTRG.13416.1.p1
6.3.5.5 & 3.5.2.3	MSTRG.9073.1.p1
1.3.98.1	MSTRG.1224.1.p1
1.3.98.1	MSTRG.1225.1.p1
1.17.4.1	MSTRG.3989.1.p1
1.17.4.1	MSTRG.12045.1.p1
2.1.1.45	MSTRG.21233.1.p1
2.1.1.45	MSTRG.27860.1.p1
2.1.3.2	MSTRG.21874.1.p1
2.1.3.2	MSTRG.13416.1.p1
2.1.3.2	MSTRG.9073.1.p1
2.4.2.2 & 2.4.2.3 & 2.4.2.4	MSTRG.6408.1.p1
2.4.2.2 & 2.4.2.3 & 2.4.2.4	MSTRG.6409.1.p1
2.7.1.48	MSTRG.28031.1.p1
2.7.1.48	MSTRG.25663.1.p1
3.5.4.5	MSTRG.23658.1.p1
3.6.1.5	MSTRG.21143.1.p1
3.6.1.6	MSTRG.971.1.p1
3.6.1.6	MSTRG.2459.4.p1
3.6.1.12	MSTRG.9895.1.p1
3.6.1.-	MSTRG.11874.1.p1
3.6.1.-	MSTRG.24583.1.p1
3.6.1.23	MSTRG.27457.1.p1
3.6.1.23	MSTRG.19767.1.p1
