SeqName	Color	Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	Alistat_Cr	crTP	mtTP
Archaea-CandidatusMicrarchaeota-NA-NA-NA-Candidatus_Mancarchaeum_acidiphilum_WP_088819720.1	#4daf4a	Archaea	CandidatusMicrarchaeota	NA	NA	NA	Candidatus_Mancarchaeum_acidiphilum_WP_088819720.1	0.187123	No	No
Archaea-Crenarchaeota-Thermoprotei-Desulfurococcales-Desulfurococcaceae-Ignicoccus_hospitalis_WP_011998759.1	#4daf4a	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignicoccus_hospitalis_WP_011998759.1	0.147887	No	No
Archaea-Crenarchaeota-Thermoprotei-Desulfurococcales-Desulfurococcaceae-Thermogladius_calderae_WP_048163622.1	#4daf4a	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermogladius_calderae_WP_048163622.1	0.139839	No	No
Archaea-Crenarchaeota-Thermoprotei-Sulfolobales-Sulfolobaceae-Acidianus_brierleyi_WP_110270379.1	#4daf4a	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Acidianus_brierleyi_WP_110270379.1	0.146881	No	No
Archaea-Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Archaeoglobus_fulgidus_WP_010878270.1	#4daf4a	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus_fulgidus_WP_010878270.1	0.151911	No	No
Archaea-Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Ferroglobus_placidus_WP_012965135.1	#4daf4a	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Ferroglobus_placidus_WP_012965135.1	0.151911	No	No
Archaea-Euryarchaeota-Archaeoglobi-Archaeoglobales-Archaeoglobaceae-Geoglobus_acetivorans_WP_048092139.1	#4daf4a	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Geoglobus_acetivorans_WP_048092139.1	0.150905	No	No
Archaea-Euryarchaeota-Methanomicrobia-Methanocellales-Methanocellaceae-Methanocella_arvoryzae_WP_012037332.1	#4daf4a	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella_arvoryzae_WP_012037332.1	0.152918	No	No
Archaea-NA-NA-NA-NA-archaeon_AArcSl_WP_119815899.1	#4daf4a	Archaea	NA	NA	NA	NA	archaeon_AArcSl_WP_119815899.1	0.158954	No	No
Archaea-Thaumarchaeota-NA-NA-NA-Candidatus_Nitrosotalea_sinensis_WP_101009341.1	#4daf4a	Archaea	Thaumarchaeota	NA	NA	NA	Candidatus_Nitrosotalea_sinensis_WP_101009341.1	0.133803	No	No
Archaea-Thaumarchaeota-NA-NA-NA-Marine_Group_I_thaumarchaeote_SCGC_AAA799D07_WP_048083785.1	#4daf4a	Archaea	Thaumarchaeota	NA	NA	NA	Marine_Group_I_thaumarchaeote_SCGC_AAA799D07_WP_048083785.1	0.132797	No	No
Archaea-Thaumarchaeota-NA-Nitrosopumilales-Nitrosopumilaceae-Candidatus_Nitrosomarinus_catalina_WP_086908107.1	#4daf4a	Archaea	Thaumarchaeota	NA	Nitrosopumilales	Nitrosopumilaceae	Candidatus_Nitrosomarinus_catalina_WP_086908107.1	0.133803	No	No
Bacteria-Actinobacteria-Actinobacteria-Glycomycetales-Glycomycetaceae-Salilacibacter_sp._NKC35_WP_142091434.1	#377eb8	Bacteria	Actinobacteria	Actinobacteria	Glycomycetales	Glycomycetaceae	Salilacibacter_sp._NKC35_WP_142091434.1	0.131791	No	No
Bacteria-Actinobacteria-Actinobacteria-Micrococcales-Micrococcaceae-Rothia_nasimurium_WP_135011153.1	#377eb8	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Rothia_nasimurium_WP_135011153.1	0.138833	No	No
Bacteria-Actinobacteria-Actinobacteria-Streptosporangiales-Thermomonosporaceae-Actinomadura_kijaniata_WP_067829538.1	#377eb8	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura_kijaniata_WP_067829538.1	0.136821	No	No
Bacteria-Armatimonadetes-Armatimonadia-Capsulimonadales-Capsulimonadaceae-Capsulimonas_corticalis_WP_119322845.1	#377eb8	Bacteria	Armatimonadetes	Armatimonadia	Capsulimonadales	Capsulimonadaceae	Capsulimonas_corticalis_WP_119322845.1	0.132797	No	No
